text,label
Giải được bài toán khó khiến tôi tự tin hơn!,Positive
Cuối cùng tôi cũng hoàn thành bài kiểm tra!,Positive
Tôi gặp khó khăn khi thuyết trình trước đám đông!,Negative
Tôi học được rất nhiều kiến thức bổ ích từ bài giảng hôm nay!,Positive
Tôi phải làm lại bài tập vì sai sót!,Negative
Tôi đã nhận được phản hồi tích cực từ sếp!,Positive
Tôi không thể hoàn thành công việc đúng hạn!,Negative
Chúng tôi không thể đạt được sự đồng thuận trong cuộc họp!,Negative
Tôi cảm thấy rất mệt mỏi vì khối lượng công việc!,Negative
Tôi đã cải thiện kỹ năng thuyết trình của mình!,Positive
Buổi học hôm nay khiến tôi cảm thấy nhàm chán!,Negative
Tôi hoàn thành mục tiêu công việc của mình trong tuần này!,Positive
Không hoàn thành được bài tập đúng hạn!,Negative
Tôi cảm thấy rất tự tin khi tham gia cuộc họp!,Positive
Tôi không thể tập trung vào công việc vì căng thẳng!,Negative
Tôi đã có một buổi học hiệu quả hôm nay!,Positive
Tôi đang rất lo lắng về kỳ thi sắp tới!,Negative
Bị kiện vì quảng cáo sai sự thật,Negative
Phát minh thiết bị y tế giá rẻ cho vùng sâu,Positive
Tôi thấy rất hài lòng với bài thuyết trình của mình.,Positive
Tôi cảm thấy áp lực vì công việc dồn dập.,Negative
Hôm nay tôi dành thời gian để sắp xếp lại tài liệu.,Neutral
Tôi được khen vì hoàn thành sớm công việc.,Positive
Tôi không thể hoàn thành bài tập đúng hạn.,Negative
Tôi đang đọc một bài báo chuyên ngành rất thú vị.,Neutral
Tôi cảm thấy tự tin hơn khi làm việc nhóm.,Positive
Tôi thất vọng vì không đạt kết quả như mong đợi.,Negative
Tôi dành cả sáng để ôn lại kiến thức cũ.,Neutral
Tôi vừa nhận được email báo đậu phỏng vấn.,Positive
Bị nhắc nhở trước lớp khiến tôi xấu hổ.,Negative
Hôm nay tôi chỉ tập trung vào một nhiệm vụ duy nhất.,Neutral
Tôi đã giúp đồng nghiệp hoàn thành công việc đúng hạn.,Positive
Tôi bị từ chối tham gia vào nhóm nghiên cứu.,Negative
Tôi dành thời gian lên kế hoạch cho tuần mới.,Neutral
Tôi đạt điểm tuyệt đối trong bài kiểm tra toán.,Positive
Tôi cảm thấy thất bại khi không đạt mục tiêu.,Negative
Tôi đang học thêm kỹ năng mới trên mạng.,Neutral
Hôm nay tôi thuyết trình tốt hơn mong đợi.,Positive
Tôi bị trễ deadline vì quên mất công việc.,Negative
Tôi vừa tải về một ứng dụng học tập hữu ích.,Neutral
Tôi hoàn thành tất cả công việc trước giờ tan sở.,Positive
Tôi cảm thấy rất buồn vì bị góp ý nặng nề.,Negative
Tôi dành thời gian đọc sách chuyên ngành.,Neutral
Tôi được chọn làm đại diện nhóm trong hội thảo.,Positive
Tôi cảm thấy mình vô dụng khi không giúp được nhóm.,Negative
Hôm nay tôi chỉ ghi chú lại nội dung buổi họp.,Neutral
Tôi hoàn thành bài tập trước thời hạn.,Positive
Tôi quên mang tài liệu quan trọng đến lớp.,Negative
Tôi dành thời gian lên kế hoạch cho đồ án.,Neutral
Tôi nhận được lời khen từ giáo viên.,Positive
Tôi cảm thấy bị cô lập trong lớp học.,Negative
Tôi đang tìm hiểu thêm về lĩnh vực yêu thích.,Neutral
Tôi có cơ hội thực tập tại công ty lớn.,Positive
Tôi không làm được bài kiểm tra giữa kỳ.,Negative
Hôm nay tôi đọc bài báo cáo cũ để tham khảo.,Neutral
Tôi vượt qua thử thách với kết quả tốt.,Positive
Tôi cảm thấy bất mãn với cách tổ chức buổi họp.,Negative
Tôi đang phân tích dữ liệu cho dự án.,Neutral
Tôi được giao nhiệm vụ mới thú vị.,Positive
Tôi bị điểm kém vì không học bài.,Negative
Tôi đang thử viết nhật ký công việc mỗi ngày.,Neutral
Tôi đạt được mục tiêu học tập đầu tiên.,Positive
Tôi bị loại khỏi danh sách tham gia hội thảo.,Negative
Hôm nay tôi nghiên cứu về phương pháp mới.,Neutral
Tôi cảm thấy hài lòng với phần việc mình đảm nhận.,Positive
Tôi quên mất lịch nộp bài và bị trừ điểm.,Negative
Tôi đang kiểm tra lại toàn bộ dữ liệu đã nhập.,Neutral
Tôi được ghi nhận trong buổi họp tổng kết.,Positive
Tôi cảm thấy có động lực khi hoàn thành mục tiêu nhỏ.,Positive
Tôi bị mất tinh thần vì công việc bị trì hoãn.,Negative
Tôi đang tổng hợp tài liệu để chuẩn bị bài thuyết trình.,Neutral
Tôi rất vui vì được công nhận trong buổi họp nhóm.,Positive
Tôi cảm thấy bối rối khi không hiểu yêu cầu công việc.,Negative
Tôi đang cập nhật lịch học mới cho tuần tới.,Neutral
Tôi được giao thêm trách nhiệm và cảm thấy tự hào.,Positive
Tôi bị từ chối ý tưởng trong buổi họp.,Negative
Tôi dành buổi sáng để lên lịch công việc.,Neutral
Tôi hoàn thành đồ án đúng hạn và được đánh giá tốt.,Positive
Tôi thấy thất vọng vì làm sai một lỗi cơ bản.,Negative
Tôi đang tra cứu tài liệu trong thư viện.,Neutral
Tôi vừa ký hợp đồng thực tập đầu tiên!,Positive
Tôi bị chê bai thẳng thừng trong buổi thuyết trình.,Negative
Tôi đang sắp xếp lại ghi chú cũ.,Neutral
Tôi được mời tham gia vào nhóm dự án quan trọng.,Positive
Tôi thấy mình không phù hợp với môi trường làm việc hiện tại.,Negative
Tôi đang học trực tuyến một khóa kỹ năng mềm.,Neutral
Tôi cảm thấy được truyền cảm hứng từ đồng nghiệp.,Positive
Tôi bị điểm thấp dù đã cố gắng học rất nhiều.,Negative
Tôi dành cả tối để đọc sách chuyên ngành.,Neutral
Tôi hoàn thành xong checklist công việc hôm nay.,Positive
Tôi cảm thấy bị lãng quên trong nhóm.,Negative
Tôi đang tìm hiểu các phần mềm hỗ trợ học tập.,Neutral
Tôi được tuyên dương trước toàn lớp.,Positive
Tôi thấy bất lực khi không thể giúp đỡ đồng đội.,Negative
Tôi đang thực hiện khảo sát cho bài nghiên cứu.,Neutral
Tôi vừa hoàn tất đơn xin học bổng.,Positive
Tôi thấy mệt mỏi vì lịch làm việc dày đặc.,Negative
Tôi đang in tài liệu cho buổi họp ngày mai.,Neutral
Tôi cảm thấy rất vui vì làm việc hiệu quả hơn trước.,Positive
Tôi bị la mắng vì không kiểm tra kỹ tài liệu.,Negative
Tôi đang chỉnh sửa nội dung bài thuyết trình.,Neutral
Tôi đạt được thành tích cao trong học kỳ vừa rồi.,Positive
Tôi cảm thấy buồn vì không ai hỗ trợ tôi.,Negative
Tôi đang xem lại các bài học cũ để ôn tập.,Neutral
Tôi nhận được thư chấp nhận từ công ty thực tập mơ ước.,Positive
Tôi bị mất phương hướng trong việc học.,Negative
Tôi đang tìm kiếm tài liệu cho đề tài nghiên cứu.,Neutral
Tôi cảm thấy tự tin hơn sau buổi thảo luận nhóm.,Positive
Tôi bị phạt vì đi học muộn.,Negative
Tôi đang đánh giá tiến độ học tập của bản thân.,Neutral
Tôi rất vui khi kết nối được với giảng viên mới.,Positive
Tôi cảm thấy nản lòng khi kết quả học tập không cải thiện.,Negative
Tôi đang cập nhật bảng phân công nhóm.,Neutral
Tôi vừa hoàn tất khóa học kỹ năng mềm.,Positive
Tôi cảm thấy lạc lõng trong môi trường mới.,Negative
Tôi đang tìm cách cải thiện khả năng viết báo cáo.,Neutral
Tôi được mời phát biểu trong một hội thảo sinh viên.,Positive
Tôi cảm thấy hài lòng với kết quả bài thuyết trình.,Positive
Tôi bị loại khỏi vòng tuyển chọn học bổng.,Negative
Tôi đang lên kế hoạch ôn thi cuối kỳ.,Neutral
Tôi nhận được phản hồi tích cực từ giáo viên.,Positive
Tôi bị đánh giá thấp trong phần trình bày.,Negative
Tôi đang đọc bài nghiên cứu về phương pháp học hiệu quả.,Neutral
Tôi cảm thấy rất tự hào vì nhóm tôi hoàn thành đúng hạn.,Positive
Tôi thấy lo lắng khi không hiểu nội dung bài giảng.,Negative
Tôi đang viết báo cáo cuối kỳ.,Neutral
Tôi vừa được nhận vào chương trình thực tập yêu thích.,Positive
Tôi bị tụt hậu vì không theo kịp tiến độ.,Negative
Tôi đang phân loại tài liệu cũ.,Neutral
Tôi thấy vui khi làm việc cùng nhóm năng động.,Positive
Tôi bị từ chối trong lần ứng tuyển đầu tiên.,Negative
Tôi đang kiểm tra lại dữ liệu đã nhập.,Neutral
Tôi được vinh danh trong buổi họp công ty.,Positive
Tôi thấy thất vọng vì không ai lắng nghe ý kiến của mình.,Negative
Tôi đang hoàn thiện bản báo cáo định kỳ.,Neutral
Tôi cảm thấy hạnh phúc khi được giao nhiệm vụ quan trọng.,Positive
Tôi bị áp lực vì lịch trình dày đặc.,Negative
Tôi đang ghi chú lại nội dung cuộc họp.,Neutral
Tôi đạt được mục tiêu học tập tháng này.,Positive
Tôi cảm thấy bị bỏ rơi trong dự án chung.,Negative
Tôi đang học cách sử dụng phần mềm mới.,Neutral
Tôi vừa hoàn tất một dự án mà tôi rất tâm đắc.,Positive
Tôi bị mất phương hướng trong việc định hướng nghề nghiệp.,Negative
Tôi đang lên lịch cho các buổi học nhóm.,Neutral
Tôi rất vui khi thấy mình tiến bộ mỗi ngày.,Positive
Tôi bị nhầm lẫn giữa các khái niệm mới học.,Negative
Tôi đang đọc tài liệu để chuẩn bị thảo luận nhóm.,Neutral
Tôi được nhận xét tích cực từ cấp trên.,Positive
Tôi cảm thấy buồn vì không được mời tham gia nhóm mới.,Negative
Tôi đang kiểm tra lại thời gian biểu của mình.,Neutral
Tôi cảm thấy tự tin hơn sau buổi phỏng vấn thử.,Positive
Tôi bị trừ điểm vì quên nộp bài đúng hạn.,Negative
Tôi đang phân tích kết quả khảo sát nhóm.,Neutral
Tôi rất phấn khởi vì hoàn thành công việc sớm.,Positive
Tôi thấy bối rối khi nhận nhiều phản hồi trái chiều.,Negative
Tôi đang sắp xếp lại không gian học tập của mình.,Neutral
Tôi vừa được khen trong buổi họp tổng kết.,Positive
Tôi cảm thấy áp lực khi phải thuyết trình trước đông người.,Negative
Tôi đang làm bảng thống kê cho bài nghiên cứu.,Neutral
Tôi thấy vui khi giúp được bạn cùng lớp học bài.,Positive
Tôi bị mất động lực vì liên tục bị chê trách.,Negative
Tôi đang tạo timeline cho kế hoạch học tập cá nhân.,Neutral
Tôi được mời làm trợ giảng cho lớp học trực tuyến.,Positive
Tôi thấy bối rối khi không hiểu bài giảng.,Negative
Tôi đang kiểm tra lại các bài tập đã làm.,Neutral
Tôi cảm thấy rất vui khi được đề cử vào nhóm nghiên cứu.,Positive
Tôi bị đánh trượt vì thiếu một tiêu chí quan trọng.,Negative
Tôi đang đọc lại các ghi chú từ buổi học trước.,Neutral
Tôi được mời tham gia cuộc thi học thuật cấp trường.,Positive
Tôi cảm thấy áp lực với kỳ vọng từ người khác.,Negative
Tôi đang chuẩn bị slide cho buổi thuyết trình tới.,Neutral
Tôi vừa được nhận bằng khen cho sự cố gắng học tập.,Positive
Tôi cảm thấy nản khi không thể giải được bài toán.,Negative
Tôi đang xem lại bài giảng qua video.,Neutral
Tôi được phân công làm trưởng nhóm trong dự án mới.,Positive
Tôi thấy mệt mỏi vì phải làm thêm giờ liên tục.,Negative
Tôi đang tổng hợp dữ liệu cho báo cáo giữa kỳ.,Neutral
Tôi vừa hoàn thành khóa học trực tuyến với điểm cao.,Positive
Tôi bị đánh giá không công bằng trong buổi phản biện.,Negative
Tôi đang tìm tài liệu tham khảo cho đề cương.,Neutral
Tôi cảm thấy rất tự hào khi nhóm mình đạt giải.,Positive
Tôi bị loại vì nộp bài trễ hạn cuối.,Negative
Tôi đang rà soát lỗi chính tả trong báo cáo.,Neutral
Tôi thấy rất hài lòng với tiến độ học tập của mình.,Positive
Tôi cảm thấy căng thẳng khi bị hỏi dồn dập.,Negative
Tôi đang lên ý tưởng cho dự án tốt nghiệp.,Neutral
Tôi được giáo viên chọn làm trợ lý lớp học.,Positive
Tôi cảm thấy buồn vì không được ghi nhận.,Negative
Tôi đang tham khảo tài liệu nước ngoài cho nghiên cứu.,Neutral
Tôi hoàn thành xong toàn bộ công việc trước thời hạn.,Positive
Tôi bị lúng túng khi trả lời câu hỏi của giáo viên.,Negative
Tôi đang học lập trình mỗi tối sau giờ làm.,Neutral
Tôi được tuyên dương trước toàn bộ lớp.,Positive
Tôi cảm thấy bất lực khi mọi nỗ lực đều không được nhìn nhận.,Negative
Tôi đang ôn tập cho kỳ kiểm tra tuần tới.,Neutral
Tôi rất hạnh phúc khi bài viết của mình được đăng báo.,Positive
Tôi bị điểm kém vì không hiểu yêu cầu đề bài.,Negative
Tôi đang tra cứu từ vựng cho bài thuyết trình tiếng Anh.,Neutral
Tôi vừa kết thúc khóa học kỹ năng lãnh đạo.,Positive
Tôi cảm thấy thất vọng vì bị loại khỏi vòng phỏng vấn.,Negative
Tôi đang kiểm tra lại lịch nộp bài trên hệ thống.,Neutral
Tôi được phân công làm quản lý dự án nhỏ.,Positive
Tôi cảm thấy chán nản vì thiếu động lực học.,Negative
Tôi đang soạn thảo email gửi cho giảng viên.,Neutral
Tôi cảm thấy tự tin hơn sau mỗi lần thuyết trình.,Positive
Tôi bị quên nội dung cần trình bày trong cuộc họp.,Negative
Tôi đang ghi chú lại những điểm chính trong bài học.,Neutral
Tôi được nhận xét là có tiến bộ rõ rệt.,Positive
Tôi bị cản trở bởi quá nhiều nhiệm vụ cùng lúc.,Negative
Tôi đang kiểm tra nội dung trước khi gửi báo cáo.,Neutral
Tôi cảm thấy rất tích cực nhờ sự hỗ trợ từ bạn bè.,Positive
Tôi cảm thấy lo lắng vì không đủ thời gian chuẩn bị.,Negative
Tôi đang lập danh sách công việc cần làm trong tuần.,Neutral
Tôi cảm thấy rất tự hào vì nhóm tôi đã hoàn thành nhiệm vụ.,Positive
Tôi cảm thấy thất vọng vì bài báo cáo không được đánh giá cao.,Negative
Tôi đang ôn tập lại các bài học trước khi thi.,Neutral
Tôi đã có thể giải quyết vấn đề mà tôi gặp phải trước đây.,Positive
Tôi bị áp lực khi phải hoàn thành công việc trong thời gian ngắn.,Negative
Tôi đang chuẩn bị tài liệu cho buổi hội thảo sắp tới.,Neutral
Tôi cảm thấy rất vui khi hoàn thành một dự án quan trọng.,Positive
Tôi bị từ chối yêu cầu nghỉ phép trong kỳ thi.,Negative
Tôi đang làm việc trên một dự án cá nhân để học thêm kiến thức.,Neutral
Tôi được chọn làm đại diện cho nhóm trong buổi thuyết trình.,Positive
Tôi cảm thấy mệt mỏi khi phải làm việc liên tục không nghỉ.,Negative
Tôi đang lên kế hoạch học tập cho kỳ thi cuối kỳ.,Neutral
Tôi vừa hoàn thành bài kiểm tra với kết quả tốt.,Positive
Tôi cảm thấy bất mãn khi công sức của mình không được công nhận.,Negative
Tôi đang xem lại các tài liệu đã học trước đó.,Neutral
Tôi cảm thấy hạnh phúc khi đạt được mục tiêu công việc của mình.,Positive
Tôi bị trễ vì cuộc họp kéo dài quá lâu.,Negative
Tôi đang tổ chức lại lịch làm việc của mình.,Neutral
Tôi đạt được điểm số cao trong bài kiểm tra toán.,Positive
Tôi cảm thấy không tự tin khi thuyết trình trước nhóm.,Negative
Tôi đang tìm kiếm tài liệu nghiên cứu cho bài luận.,Neutral
Tôi được khen ngợi vì sự sáng tạo trong công việc.,Positive
Tôi cảm thấy không có đủ thời gian để chuẩn bị cho bài kiểm tra.,Negative
Tôi đang sắp xếp lại tài liệu cho dự án nhóm.,Neutral
Tôi cảm thấy rất vui vì bài thuyết trình của tôi diễn ra tốt đẹp.,Positive
Tôi bị chỉ trích vì thiếu sót trong công việc.,Negative
Tôi đang dành thời gian cải thiện kỹ năng lập trình của mình.,Neutral
Tôi được mời làm người giám sát cho dự án mới.,Positive
Tôi cảm thấy bối rối khi không hiểu các yêu cầu công việc.,Negative
Tôi đang chuẩn bị bài thuyết trình cho tuần sau.,Neutral
Tôi cảm thấy rất hài lòng khi hoàn thành mục tiêu học tập.,Positive
Tôi bị điểm kém vì không chuẩn bị tốt cho bài kiểm tra.,Negative
Tôi đang lên kế hoạch tham gia một cuộc thi nghiên cứu khoa học.,Neutral
Tôi vừa nhận được phản hồi tích cực từ giảng viên.,Positive
Tôi cảm thấy rất thất vọng khi không đạt được điểm như mong muốn.,Negative
Tôi đang tìm kiếm tài liệu tham khảo cho bài viết của mình.,Neutral
Tôi cảm thấy vui mừng khi nhóm mình đạt được kết quả tốt.,Positive
Tôi bị phê bình vì không làm việc đúng thời gian.,Negative
Tôi đang lên kế hoạch cho một buổi học nhóm vào cuối tuần.,Neutral
Tôi cảm thấy rất tự hào vì đã hoàn thành bài thuyết trình đúng hạn.,Positive
Tôi bị thất bại khi không thể hoàn thành công việc đúng thời hạn.,Negative
Tôi đang nghiên cứu thêm về một lĩnh vực mới.,Neutral
Tôi được khen vì hoàn thành công việc vượt kế hoạch.,Positive
Tôi cảm thấy căng thẳng vì chưa hoàn thành công việc đúng hạn.,Negative
Tôi đang sắp xếp lại tài liệu nghiên cứu cho bài luận.,Neutral
Tôi rất hào hứng khi tham gia dự án nghiên cứu sắp tới.,Positive
Tôi cảm thấy rất tự tin khi thuyết trình trước lớp.,Positive
Tôi cảm thấy mệt mỏi vì công việc quá tải.,Negative
Tôi đang chuẩn bị tài liệu cho hội thảo sắp tới.,Neutral
Tôi rất vui khi có thể giúp đỡ đồng nghiệp hoàn thành công việc.,Positive
Tôi cảm thấy lo lắng vì bài thuyết trình sắp tới.,Negative
Tôi đang sắp xếp lại lịch học của mình.,Neutral
Tôi được khen ngợi vì sự sáng tạo trong dự án.,Positive
Tôi bị chỉ trích vì không hoàn thành đúng tiến độ.,Negative
Tôi đang xem lại các tài liệu cần thiết cho bài kiểm tra.,Neutral
Tôi cảm thấy rất tự hào khi nhóm mình đạt được thành tích cao.,Positive
Tôi cảm thấy thất vọng khi không được giao nhiệm vụ quan trọng.,Negative
Tôi đang lên kế hoạch ôn thi cho kỳ thi cuối kỳ.,Neutral
Tôi cảm thấy rất vui khi nhận được lời khen từ giảng viên.,Positive
Tôi bị trễ deadline vì công việc dồn lại.,Negative
Tôi đang làm việc với nhóm để chuẩn bị báo cáo cuối kỳ.,Neutral
Tôi cảm thấy hài lòng với tiến độ học tập của mình.,Positive
Tôi bị mất tinh thần vì không đạt được kết quả như mong đợi.,Negative
Tôi đang chuẩn bị một bài luận cho môn học quan trọng.,Neutral
Tôi cảm thấy tự tin hơn khi trình bày kết quả công việc.,Positive
Tôi thấy bối rối khi không thể giải quyết vấn đề này.,Negative
Tôi đang cập nhật các số liệu cho dự án nghiên cứu.,Neutral
Tôi được giao thêm trách nhiệm trong dự án mới.,Positive
Tôi cảm thấy bị áp lực khi không thể hoàn thành công việc đúng hạn.,Negative
Tôi đang tham khảo các nghiên cứu mới cho bài luận của mình.,Neutral
Tôi cảm thấy rất vui khi nhận được lời khen từ đồng nghiệp.,Positive
Tôi bị phê bình vì không cập nhật đúng thời gian.,Negative
Tôi đang lên kế hoạch cho kỳ thi sắp tới.,Neutral
Tôi rất hài lòng khi công việc của mình được hoàn thành sớm.,Positive
Tôi cảm thấy rất căng thẳng vì có quá nhiều việc cần làm.,Negative
Tôi đang chuẩn bị bài thuyết trình cho buổi hội thảo.,Neutral
Tôi được mời tham gia vào một dự án nghiên cứu mới.,Positive
Tôi cảm thấy thất vọng khi nhóm không đạt được mục tiêu đề ra.,Negative
Tôi đang hoàn thiện các tài liệu cho bài kiểm tra sắp tới.,Neutral
Tôi rất tự hào khi nhóm của mình làm việc hiệu quả.,Positive
Tôi cảm thấy bối rối khi không nhận được sự hỗ trợ từ đồng nghiệp.,Negative
Tôi đang đọc tài liệu để chuẩn bị cho buổi học sắp tới.,Neutral
Tôi vừa nhận được lời mời tham gia chương trình học bổng.,Positive
Tôi cảm thấy áp lực khi phải thuyết trình trước nhiều người.,Negative
Tôi đang sắp xếp lại các tài liệu nghiên cứu của mình.,Neutral
Tôi rất vui khi có thể hoàn thành công việc đúng hạn.,Positive
Tôi cảm thấy thất vọng khi không thể giải quyết vấn đề ngay lập tức.,Negative
Tôi đang tìm kiếm các bài giảng mới để cải thiện kỹ năng.,Neutral
Tôi rất tự hào khi kết quả dự án của nhóm được đánh giá cao.,Positive
Tôi cảm thấy vui khi được giao nhiệm vụ quan trọng trong dự án.,Positive
Tôi cảm thấy lo lắng vì không thể hoàn thành công việc đúng hạn.,Negative
Tôi đang kiểm tra lại các số liệu trong bài nghiên cứu.,Neutral
Tôi rất hài lòng với tiến độ công việc của mình.,Positive
Tôi bị áp lực vì không đủ thời gian để chuẩn bị bài thuyết trình.,Negative
Tôi đang lên kế hoạch cho các buổi học nhóm vào cuối tuần.,Neutral
Tôi rất tự hào khi được công nhận trong cuộc họp công ty.,Positive
Tôi cảm thấy bị bỏ rơi vì không ai hỗ trợ tôi trong công việc.,Negative
Tôi đang chuẩn bị báo cáo cho buổi thuyết trình tuần tới.,Neutral
Tôi cảm thấy rất vui vì nhóm của mình đạt được kết quả tốt.,Positive
Tôi bị chỉ trích vì thiếu chuẩn bị cho cuộc họp.,Negative
Tôi đang tìm kiếm tài liệu nghiên cứu cho bài luận của mình.,Neutral
Tôi cảm thấy tự tin hơn khi tham gia vào cuộc họp nhóm.,Positive
Tôi cảm thấy mệt mỏi vì phải làm việc liên tục mà không nghỉ.,Negative
Tôi đang soạn thảo kế hoạch học tập cho kỳ thi cuối kỳ.,Neutral
Tôi cảm thấy rất vui khi công việc của mình được hoàn thành đúng hạn.,Positive
Tôi bị áp lực vì phải thực hiện nhiều nhiệm vụ cùng lúc.,Negative
Tôi đang chuẩn bị bài thuyết trình cho hội nghị sắp tới.,Neutral
Tôi rất tự hào khi bài luận của tôi được giáo viên khen ngợi.,Positive
Tôi cảm thấy bối rối vì không thể tìm ra giải pháp cho vấn đề.,Negative
Tôi đang kiểm tra lại các dữ liệu cần thiết cho bài nghiên cứu.,Neutral
Tôi cảm thấy vui mừng khi nhóm mình hoàn thành đúng tiến độ.,Positive
Tôi bị thất bại khi không thể hoàn thành mục tiêu công việc.,Negative
Tôi đang sắp xếp lại lịch làm việc để phù hợp với các nhiệm vụ mới.,Neutral
Tôi cảm thấy rất tự hào khi bài thuyết trình của mình thành công.,Positive
Tôi cảm thấy thất vọng khi kết quả không như mong đợi.,Negative
Tôi đang tham gia khóa học trực tuyến để cải thiện kỹ năng.,Neutral
Tôi rất vui khi nhận được thư mời tham gia hội thảo chuyên đề.,Positive
Tôi cảm thấy bị lạc lõng khi không ai hỗ trợ trong dự án.,Negative
Tôi đang chuẩn bị tài liệu cho buổi thuyết trình ngày mai.,Neutral
Tôi rất tự hào khi nhóm mình hoàn thành công việc vượt chỉ tiêu.,Positive
Tôi cảm thấy lo lắng vì có quá nhiều công việc cần hoàn thành.,Negative
Tôi đang xem lại các ghi chú từ buổi học trước.,Neutral
Tôi cảm thấy rất vui khi được công nhận trong nhóm làm việc.,Positive
Tôi bị từ chối yêu cầu thăng chức trong công ty.,Negative
Tôi đang chuẩn bị kế hoạch học tập cho kỳ thi quan trọng.,Neutral
